求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
13040-18189702,インフラエンジニア（基盤構築案件）,通信向けの基盤構築案件が複数あり、ご経験やご希望によりアサインを決めます。クラウド（ＡＷＳ・Ａｚｕｒｅ）、オンプレと様々な環境構築案件がございます。ＯＳ設計構築より、ミドルウェアの,"300,000円〜500,000円","										（1）10時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018189702&kJKbn=1&jGSHNo=cQL9M8M%2BOPCqrbaiZGWzwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18194902,◎【ＰＭＯ】,開発現場における進捗状況の確認、品質の確認などが業務内容となります。種類問わず言語経験や上流（設計）のご経験があれば優遇させて頂,"250,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018194902&kJKbn=1&jGSHNo=uCuYr47j3XPBRFrNUeVtWQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18197702,【ＣＩＳＣＯ】ネットワーク設計／構築,ＣＩＳＣＯ製品でのソフトウェアネットワークの設計・構築から保守までをご担当頂きます。ネットワークの要件定義書を読み解き、設計書（基本・詳細）にお,"280,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018197702&kJKbn=1&jGSHNo=uCuYr47j3XPBRFrNUeVtWQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18202702,Ｊａｖａエンジニア（金融系システム開発）,生保システムリプレース案件です。想定業務領域は新契約・保全（支払いなど）多岐にわたります。開発手法はアジャイルで、複数チームがありますので、いずれかの,"300,000円〜500,000円","										（1）10時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018202702&kJKbn=1&jGSHNo=cQL9M8M%2BOPCqrbaiZGWzwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18206602,スマートフォンアプリプログラマー,スマートフォンアプリケーションの企画・開発・制作を担当して頂きます。スマートフォンアプリ企画・開発（ｉＯＳ、Ａｎｄｒｏｉｄなど）,"250,000円〜400,000円","										（1）10時00分〜19時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018206602&kJKbn=1&jGSHNo=a%2FLJl5C4%2FJ2AVd5v6x3%2FLg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18225902,ＡＷＳエンジニア（設計・構築・技術支援）,ＡＷＳを使用したインフラの設計・構築や既存のオンプレ環境等からの移行、その他技術支援等を行います。スキル・経験に合わせ、要件定義、基本設計、詳細設計、検証、構,"300,000円〜600,000円","										（1）10時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018225902&kJKbn=1&jGSHNo=cQL9M8M%2BOPCqrbaiZGWzwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-79298901,ＩＴインフラ整備支援　※端末・ネットワーク・サーバ,社内で使用するサーバやネットワーク、その他付随するＰＣ端末等の整備を行います。設定値の変更や機器交換等の作業を支援します。,"250,000円〜390,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308079298901&kJKbn=1&jGSHNo=imEshX4p43ORgQ0bbLEqeA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-79322701,【初級】Ｐｙｔｈｏｎエンジニア／データサイエンティスト,クライアントが持つビッグデータをもとにクライアントの課題解決します。主なクライアントは通信・流通業界です。,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308079322701&kJKbn=1&jGSHNo=imEshX4p43ORgQ0bbLEqeA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-79323801,＜ｓｙｓｔｅｍｗａｌｋｅｒ＞ミドル導入エンジニア,社内システム更改に伴い、ｓｙｓｔｅｍｗａｌｋｅｒ周りを担当いただきます。,"230,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308079323801&kJKbn=1&jGSHNo=imEshX4p43ORgQ0bbLEqeA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13190-09165601,プログラマー,ＷＥＢシステム開発などのプログラミングを主都市、ソフトウェア開発、システム運用・保守などの業務をおこなっていただきます。（言語・スキルレベルは問いません。）,"185,000円〜210,000円",フレックスタイム制,土日祝他,制限あり,東京都町田市東京都新宿区東京都世田谷区神奈川県横浜市港北区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1319009165601&kJKbn=1&jGSHNo=UJMI2jC9mQMNy2CkllnUrw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
47020-15926601,ＣＡＤ設計・運用・保守,ＣＡＴＩＡＶ５を使用したユーザー支援,"180,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702015926601&kJKbn=1&jGSHNo=XPOUYE6XFCeRukQanF%2FcRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
12080-21121501,ＩＴエンジニア（東京支店）,国内、海外での業務のデジタル化に向け、基幹システムやアプリの開発の企画・提案・実行・運用・改善などを行っていただきます。,"230,000円〜300,000円","										（1）08時30分〜17時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1208021121501&kJKbn=1&jGSHNo=2j6%2B4oVImTdWlj9%2BDfQQ4A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12540502,システムエンジニア（プログラマー）,ＡＳ／４００及びＰＣのソフト開発やインストレーション,"200,000円〜600,000円","										（1）09時00分〜17時20分
",土日祝,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012540502&kJKbn=1&jGSHNo=QrzKPdHDdUJGoUFHluuuUw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12551302,プログラマ・ＳＥ／正社員,システム開発作業システム保守・維持業務ＵＮＩＸ、Ｌｉｎｕｘ等のシステム運用の管理,"220,000円〜400,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012551302&kJKbn=1&jGSHNo=Uy%2BWE1%2B79xVMLWJwhX%2BfVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12554402,サーバーサイドエンジニア／正社員,ＵＮＩＸ、Ｌｉｎｕｘ等のシステム開発以下のいずれかの言語ツールの経験尚可開発言語：ＪＡＶＡ、Ｃ、Ｃ＋＋、Ｐｅｒｌ、ＰＨＰ、Ｒｕｂｙ、,"220,000円〜400,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012554402&kJKbn=1&jGSHNo=Uy%2BWE1%2B79xVMLWJwhX%2BfVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12557202,フロントエンドエンジニア／正社員,Ｗｅｂフォーム、フレームの開発。以下いずれかの言語、ツールの経験あれば尚可。開発言語：ＪＡＶＡ、ＨＴＭＬ、ＨＴＭＬ５、ＣＳＳ、ＣＳＳ３、,"220,000円〜400,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都文京区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012557202&kJKbn=1&jGSHNo=Uy%2BWE1%2B79xVMLWJwhX%2BfVg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12560102,Ｃ＃エンジニア／急募,【製品Ｖ－ＵＰ・海外展開を見据えた機能拡充開発要員】大手製造業向け（主に自動車）の設計領域の支援システムパッケージの開発プロジェクト。,"301,000円〜432,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012560102&kJKbn=1&jGSHNo=H7GikhYArp9SXTHUXzddCQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12562702,研修充実／Ｗｅｂ・オープン系システムエンジニア,【業務内容】各種システムの要件定義・基本設計～運用・保守に亘り広範囲なフェーズに参画いただきます。,"301,000円〜432,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012562702&kJKbn=1&jGSHNo=H7GikhYArp9SXTHUXzddCQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12724202,ＩＴインフラ系のＰＭ,弊社ＩＴインフラ事業部のＰＭとしての募集となります。・ＩＴインフラ系の請負案件の提案、公共入札案件の対応・仕様書作成、工数見積もり、管理、クライアントとの折衝,"400,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012724202&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12817402,【急募】システムエンジニア・プログラマー／経験者,大手企業向け＜インフラ系技術者＞ＵＮＩＸサーバ、Ｌｉｎｕｘサーバ、Ｗｉｎｄｏｗｓサーバ、ＶＭ,"250,000円〜550,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012817402&kJKbn=1&jGSHNo=ZbWfkWkHg9iu6kcxA67o4w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12833402,エンジニア（サーバ構築）未経験者,１．サーバ環境設計構築、運用設計、保守作業Ｕｎｉｘ、Ｌｉｎｕｘ、ＷｉｎｄｏｗｓのＯＳによる環境構築、運用、保守の作業を設計から行っていただきます。,"206,000円〜236,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012833402&kJKbn=1&jGSHNo=GdK2nvMV4yDf3gGr0pzEPg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12835802,システムエンジニア（未経験）,コンピュータシステムの開発を行って頂きます。Ｃ、Ｊａｖａ等の言語を使ってプログラム設計、製造、試験を行います。,"206,000円〜236,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012835802&kJKbn=1&jGSHNo=GdK2nvMV4yDf3gGr0pzEPg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18004002,開発エンジニア（ＶＢ．ｎｅｔ・ＡＳＰ．ｎｅｔ）,社内ＳＥとアプリ開発業務を担当いただきます。,"300,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018004002&kJKbn=1&jGSHNo=RYYe5M7LyEF9IGbgwoLsUw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18084802,システムエンジニア（ＳＡＰもしくはＪＡＶＡ経験者歓迎）,システム改修やアプリ改修に関する、下記のどちらかの業務を担当いただきます。１．ＳＡＰ導入プロジェクトにおける業務,"220,000円〜620,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018084802&kJKbn=1&jGSHNo=P%2BtdraLqJBF0KDZCOB6X%2FA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18102902,ＷＥＢ開発エンジニア,・ＷＥＢシステムの開発業務★職業訓練修了者歓迎★新卒・第２新卒も歓迎,"221,500円〜515,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018102902&kJKbn=1&jGSHNo=1RgM%2BMl0RZNBMCtyHjSObw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-18108502,システム設計技術者（スキルアップ希望者募集）,ＶＭｗａｒｅを基盤としたＷｉｎｄｏｗｓ、Ｌｉｎｕｘサーバならびにネットワーク環境の設計から構築・試験までを実施する、大きなプロジェクトに当社のメンバーとチームを組んで参画していただ,"344,643円〜379,107円",フレックスタイム制,土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304018108502&kJKbn=1&jGSHNo=75L48ynfrXPR%2BXgAWiRPNA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-42913901,Ａｚｕｒｅ　Ｂａｔｃｈ経験者募集（六本木一丁目）,概要：ＭｉｃｒｏｓｏｆｔＡｚｕｒｅ上でのバッチ分散サービス（ＡｚｕｒｅＢａｔｃｈ）を利用しての分散処理プラットフォームを構築,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309042913901&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-42918201,ＰＣ展開作業支援（神田）,■業務内容：ＰＣキッティング作業、ＰＣセッティング現地作業■作業工程：クローン、設定,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309042918201&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-42919501,Ｄｏｃｋｅｒの構築（九段下）,案件名：流通基盤基盤アーキテクチャ刷新作業内容：大手通信系サーバ構築、基盤アーキテクチャ刷新を伴うシステム開発,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309042919501&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-42920601,ネットワーク・セキュリティサービス業務支援（高田馬場）,【概要】ネットワーク・セキュリティサービス業務全般プリセールス（営業同行、資料作成など）、提案（提案書作成、顧客提案）、設計、構築、各種図書作成、問い合わせ対応,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309042920601&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-12198902,ソフトウェア開発技術者,Ｊａｖａでの開発が中心となります。・オープン系システム・業務系アプリケーション,"285,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301012198902&kJKbn=1&jGSHNo=MBWe6wZMh1ACeRqVXV1h2w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
